file_path,file_name,proposed_customer_group_key,proposed_customer_group_name,score,review_reason,method,alternatives,evidence,approval,approved_customer_group_key,review_notes
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\gala upholstery.xlsx,gala upholstery.xlsx,,,77,ambiguous,normalized_price_filename,regal upholstery :: Regal Upholstery :: 77 | rana upholstery :: Rana Upholstery :: 74 | acclaim upholstery :: Acclaim Upholstery :: 72 | a e upholstery :: A&E Upholstery PTY LTD :: 70 | tlc upholstery :: TLC Upholstery :: 70,Price filename stem 'gala upholstery' scored 77 against customer group 'Regal Upholstery'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\td fashions.xlsx,td fashions.xlsx,,,77,ambiguous,normalized_price_filename,fashions kt :: KT Fashions :: 77 | fashions top :: Top Fashions :: 74 | fashions kh :: KH Fashions :: 70 | fashions pm :: PM Fashions :: 70 | fashions h n :: H & N Fashions Pty Ltd :: 67,Price filename stem 'td fashions' scored 77 against customer group 'KT Fashions'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\tm clothing.xlsx,tm clothing.xlsx,,,77,ambiguous,normalized_price_filename,clothing ml :: ML Clothing :: 77 | clothing htt :: HTT Clothing :: 74 | clothing d m :: M & D Clothing :: 74 | clothing plt :: PLT Clothing :: 74 | clothing s :: S. Clothing Pty Ltd :: 73,Price filename stem 'tm clothing' scored 77 against customer group 'ML Clothing'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\upholstery.xlsx,upholstery.xlsx,,,77,ambiguous,normalized_price_filename,j upholstery :: J & J Upholstery :: 77 | rv upholstery :: RV Upholstery :: 74 | a e upholstery :: A&E Upholstery PTY LTD :: 71 | c t upholstery :: C & T Upholstery :: 71 | e h upholstery :: H.E. Upholstery :: 71,Price filename stem 'upholstery' scored 77 against customer group 'J & J Upholstery'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\blackman's leather.xlsx,blackman's leather.xlsx,,,76,ambiguous,normalized_price_filename,bllackmans leather :: Bllackmans Leather :: 76 | blackmans leather vic :: Blackmans Leather Vic Pty Ltd :: 74,Price filename stem 'blackman s leather' scored 76 against customer group 'Bllackmans Leather'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\bnh blinds and awnings.xlsx,bnh blinds and awnings.xlsx,,,76,ambiguous,normalized_price_filename,awnings b blinds h :: B & H Blinds and Awnings :: 76 | awnings blinds ej :: EJ Blinds & Awnings :: 73 | awnings blinds inwood :: Inwood Blinds & Awnings :: 70 | awnings blinds watson :: Watson Blinds & Awnings :: 70 | awnings blinds windsor :: Windsor Blinds & Awnings :: 68,Price filename stem 'bnh blinds and awnings' scored 76 against customer group 'B & H Blinds and Awnings'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\hale upholstery.xlsx,hale upholstery.xlsx,,,76,ambiguous,normalized_price_filename,a e upholstery :: A&E Upholstery PTY LTD :: 76 | howe upholstery :: Howe Upholstery :: 74 | baylesh upholstery :: Baylesh Upholstery :: 72 | abbey upholstery :: Abbey Upholstery :: 71 | regal upholstery :: Regal Upholstery :: 71,Price filename stem 'hale upholstery' scored 76 against customer group 'A&E Upholstery PTY LTD'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\jones curtains.xlsx,jones curtains.xlsx,,,76,ambiguous,normalized_price_filename,curtains jane s :: Jane's Curtains :: 76 | curtains joan s :: Joan's Curtains :: 76 | curtains twins :: Twins Curtains :: 67 | curtains jag :: JAG Curtains :: 65 | curtains fenech :: Fenech Curtains :: 64,"Price filename stem 'jones curtains' scored 76 against customer group ""Jane's Curtains"". | Multiple near-equal candidates require selection.",,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\kma sewing machines.xlsx,kma sewing machines.xlsx,,,76,ambiguous,normalized_price_filename,ims machines sewing :: IMS Sewing Machines :: 76 | m machines r sewing :: R M Sewing Machines :: 76 | j l machines sewing :: J & L Sewing Machines :: 72 | machines mjc sewing :: MJC Sewing Machines :: 67 | city machine sewing :: Sewing Machine City :: 67,Price filename stem 'kma sewing machines' scored 76 against customer group 'IMS Sewing Machines'. | Multiple near-equal candidates require selection.,,,
C:\Users\WindsorTradingInfo\WINDSOR TRADING CO TRUST\Windsor Trading - Documents (1)\data\Customer Prices\mh sportswear.xlsx,mh sportswear.xlsx,,,76,ambiguous,normalized_price_filename,h m sportswear :: M H Sportswear :: 76 | a sportswear :: A & A Sportswear :: 75 | sportswear :: The Sportswear Company :: 74 | qa sportswear :: QA Sportswear :: 72 | hyland sportswear :: Hyland Sportswear :: 68,Price filename stem 'mh sportswear' scored 76 against customer group 'M H Sportswear'. | Multiple near-equal candidates require selection.,,,
